latitude,longitude,blk_no,road_name,postal_code,address,cbd_dist,min_dist_mrt
1.36200453938712,103.853879910407,406,ANG MO KIO AVENUE 10,560406,406 ANG MO KIO AVE 10,8740.633473386046,999.9415947616777
1.37096635222625,103.838201940326,108,ANG MO KIO AVENUE 4,560108,108 ANG MO KIO AVE 4,9835.486575692745,1268.9581620957108
1.38070883044887,103.835368226602,602,ANG MO KIO AVENUE 5,560602,602 ANG MO KIO AVE 5,10948.659904797603,1076.298559977006
1.3662010408294,103.857200967235,465,ANG MO KIO AVENUE 10,560465,465 ANG MO KIO AVE 10,9223.35364773267,945.3718374030358
1.38104135523576,103.835131742647,601,ANG MO KIO AVENUE 5,560601,601 ANG MO KIO AVE 5,10989.223686695306,1099.505342959781
1.37680678506745,103.842017962576,150,ANG MO KIO AVENUE 5,560150,150 ANG MO KIO AVE 5,10423.9835705288,632.572884783912
1.36747901420817,103.855967139125,447,ANG MO KIO AVENUE 10,560447,447 ANG MO KIO AVE 10,9355.685215584104,763.1163194297789
1.36511907555698,103.841742483384,218,ANG MO KIO AVENUE 1,560218,218 ANG MO KIO AVE 1,9142.391400977971,1019.7293543383523
1.37005500420092,103.854880566919,571,ANG MO KIO AVENUE 3,560571,571 ANG MO KIO AVE 3,9634.340069243592,592.4809772488842
1.37405846295585,103.854168170426,534,ANG MO KIO AVENUE 10,560534,534 ANG MO KIO AVE 10,10073.836268147485,686.5306678731071
1.36754924977907,103.836740628478,233,ANG MO KIO AVENUE 3,560233,233 ANG MO KIO AVE 3,9488.3942702577,1450.5747737287759
1.36682360872342,103.83649123351,235,ANG MO KIO AVENUE 3,560235,235 ANG MO KIO AVE 3,9414.164382776173,1494.273139180197
1.36598198004505,103.840654039612,219,ANG MO KIO AVENUE 1,560219,219 ANG MO KIO AVE 1,9251.896563467304,1082.9419507038835
1.37447378519738,103.854100515826,536,ANG MO KIO AVENUE 10,560536,536 ANG MO KIO AVE 10,10119.502842997974,712.5059596597321
1.36885445228086,103.837896397823,230,ANG MO KIO AVENUE 3,560230,230 ANG MO KIO AVE 3,9609.82429552427,1303.2721552960584
1.3697435855576,103.856023138277,570,ANG MO KIO AVENUE 3,560570,570 ANG MO KIO AVE 3,9606.052839497206,719.7856881861215
1.38156171229824,103.84000226873,624,ANG MO KIO AVENUE 4,560624,624 ANG MO KIO AVE 4,10970.735937079415,555.3495239300291
1.36605027829032,103.854168309853,441,ANG MO KIO AVENUE 10,560441,441 ANG MO KIO AVE 10,9188.81999083521,668.9871374240629
1.38219867741921,103.841211533475,625,ANG MO KIO AVENUE 9,560625,625 ANG MO KIO AVE 9,11026.191969052345,424.466127400409
1.36956344301912,103.844698910817,119,ANG MO KIO AVENUE 3,560119,119 ANG MO KIO AVE 3,9599.89184955544,542.3085221065328
1.37065487078854,103.834630215787,255,ANG MO KIO AVENUE 4,560255,255 ANG MO KIO AVE 4,9868.374055994853,1663.2087921644973
1.36830996981351,103.853600305664,432,ANG MO KIO AVENUE 10,560432,432 ANG MO KIO AVE 10,9436.611940825242,484.32104900853216
1.369196965617,103.841666636086,211,ANG MO KIO AVENUE 3,560211,211 ANG MO KIO AVE 3,9591.324839825062,881.9851102806381
1.3707097868791,103.853494767426,584,ANG MO KIO AVENUE 3,560584,584 ANG MO KIO AVE 3,9701.573684554844,446.44799517619896
1.37329593649654,103.835475719134,118,ANG MO KIO AVENUE 4,560118,118 ANG MO KIO AVE 4,10138.583719357499,1407.5995725465305
1.3613425564061,103.851698621454,333,ANG MO KIO AVENUE 1,560333,333 ANG MO KIO AVE 1,8662.831359539145,979.2861004159498
1.37061517595951,103.83596769452,256,ANG MO KIO AVENUE 4,560256,256 ANG MO KIO AVE 4,9837.154993316115,1514.3270530744683
1.36243186402478,103.851030689651,330,ANG MO KIO AVENUE 1,560330,330 ANG MO KIO AVE 1,8783.2189891527,845.4562858299382
